# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Wed May  1 10:42:52 UTC 2024
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0152 0.01508 6.00000 0.2335195541 1.7966058254    0.234 -0.601  3.5047  3.378    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.35e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.272 7.508 9.151 6.269
0.0152 0.01508 6.00000 0.2428210229 1.8217558861    0.243 -0.563  3.5086  3.373    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.45e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.177 7.393 9.012 6.161
0.0152 0.01508 6.00000 0.2590910494 1.8628706932    0.259 -0.513  3.5141  3.373    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.58e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.053 7.235 8.817 6.015
0.0152 0.01508 6.00000 0.2748019695 1.8995058537    0.275 -0.501  3.5173  3.400    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.53e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.023 7.174 8.725 5.964
0.0152 0.01508 6.00000 0.2906001210 1.9336966276    0.290 -0.491  3.5208  3.427    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.47e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.996 7.113 8.630 5.915
0.0152 0.01508 6.00000 0.3151578009 1.9823096991    0.315 -0.455  3.5271  3.452    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.49e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.908 6.971 8.429 5.793
0.0152 0.01508 6.00000 0.3399681151 2.0266623497    0.340 -0.425  3.5330  3.478    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.49e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.832 6.844 8.248 5.685
0.0152 0.01508 6.00000 0.3527808189 2.0479519367    0.353 -0.412  3.5359  3.493    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.49e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.800 6.788 8.165 5.638
0.0152 0.01508 6.00000 0.3855731785 2.0981462002    0.386 -0.363  3.5444  3.516    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.55e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.677 6.601 7.906 5.478
0.0152 0.01508 6.00000 0.4027824402 2.1223189831    0.403 -0.341  3.5485  3.530    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.57e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.622 6.513 7.783 5.404
